#element,HHI_production,HHI_reserve
He,3200,3900
Li,2900,4200
Be,8000,4000
B,2900,2000
C,500,500
N,1300,500
O,500,500
F,1500,1500
Na,1100,500
Mg,5300,500
Al,1600,1000
Si,4700,1000
P,2000,5100
S,700,1000
Cl,1500,1500
K,1700,7200
Ca,3900,1500
Sc,5500,4500
Ti,1100,1600
V,3300,3400
Cr,3100,4100
Mn,1600,1800
Fe,2400,1400
Co,3100,2700
Ni,1000,1500
Cu,1600,1500
Zn,1600,1900
Ga,5500,1900
Ge,5300,1900
As,3300,4000
Se,2200,1900
Br,3300,6900
Rb,6000,6000
Sr,4200,3000
Y,9800,2600
Zr,3400,2600
Nb,8500,8800
Mo,2400,5300
Bi,5300,6000
Ru,3200,8000
Rh,3200,8000
Pd,3200,8000
Ag,1200,1400
Cd,1700,1300
In,3300,2000
Sn,2600,1600
Sb,7900,3400
Te,2900,4900
I,4900,4800
Cs,6000,6000
Ba,3000,2300
La,9500,3100
Ce,9500,3100
Pr,9500,3100
Nd,9500,3100
Pm,9500,3100
Sm,9500,3100
Eu,9500,3100
Gd,9500,3100
Tb,9500,3100
Dy,9500,3100
Ho,9500,3100
Er,9500,3100
Tm,9500,3100
Yb,9500,3100
Lu,9500,3100
Hf,3400,2600
Ta,2300,4800
W,7000,4300
Re,3300,3300
Os,5500,9100
Ir,5500,9100
Pt,5500,9100
Au,1100,1000
Hg,5500,3100
Tl,6500,6500
Pb,2700,1800
Bi,5300,6000